gubun,mem_id,cor_id,cit_id,cde_id,cde_price,cor_datetime
akbonara,1203879,abnr2016111687,3061,2275,1000,2016-11-16 00:00:00
akbonara,1235646,abnr2016111689,3866,5225,500,2016-11-16 00:00:00
akbonara,1176860,abnr201611169,1335,1726,1000,2016-11-16 00:00:00
akbonara,1235113,abnr2016111691,3450,4476,900,2016-11-16 00:00:00
akbonara,1235646,abnr2016111693,3455,4485,1000,2016-11-16 00:00:00
akbonara,1235646,abnr2016111694,4145,5558,500,2016-11-16 00:00:00
akbonara,1235646,abnr2016111695,4133,5540,500,2016-11-16 00:00:00
akbonara,1224696,abnr2016111696,5901,7844,500,2016-11-16 00:00:00
akbonara,1235646,abnr2016111697,3909,5277,500,2016-11-16 00:00:00
akbonara,1234478,abnr2016111710,4514,6149,1000,2016-11-17 00:00:00
akbonara,1235713,abnr20161117101,4259,5738,500,2016-11-17 00:00:00
akbonara,1215027,abnr20161117105,6273,8289,500,2016-11-17 00:00:00
akbonara,1215027,abnr20161117106,4506,6137,1000,2016-11-17 00:00:00
akbonara,1231858,abnr2016111711,79,92,1000,2016-11-17 00:00:00
akbonara,1227906,abnr20161117110,15650,9287,1000,2016-11-17 00:00:00
akbonara,1235220,abnr20161117122,3763,5065,1000,2016-11-17 00:00:00
akbonara,1235220,abnr20161117129,3339,4041,1000,2016-11-17 00:00:00
akbonara,1235220,abnr20161117130,2668,3412,1000,2016-11-17 00:00:00
akbonara,1235220,abnr20161117134,15487,218,1000,2016-11-17 00:00:00
akbonara,1235220,abnr20161117138,3715,4988,1000,2016-11-17 00:00:00
akbonara,1235646,abnr20161117139,777,983,1000,2016-11-17 00:00:00
akbonara,1233596,abnr20161117142,6997,9147,1000,2016-11-17 00:00:00
akbonara,1190489,abnr20161117144,6279,8296,500,2016-11-17 00:00:00
akbonara,1234809,abnr20161117145,5533,7415,500,2016-11-17 00:00:00
akbonara,1234809,abnr20161117146,616,760,1000,2016-11-17 00:00:00
akbonara,1144148,abnr20161117147,6188,8179,500,2016-11-17 00:00:00
akbonara,1144148,abnr20161117148,3789,5109,1000,2016-11-17 00:00:00
akbonara,1163624,abnr20161117149,196,241,1000,2016-11-17 00:00:00
akbonara,1235723,abnr20161117151,3619,4810,1000,2016-11-17 00:00:00
akbonara,1095543,abnr20161117152,8553,12220,3000,2016-11-17 00:00:00
akbonara,1185916,abnr20161117154,5457,7319,1000,2016-11-17 00:00:00
akbonara,1210471,abnr2016111717,4947,6753,1000,2016-11-17 00:00:00
akbonara,1148716,abnr20161117172,7332,9482,1000,2016-11-17 00:00:00
akbonara,1148716,abnr20161117173,6743,8893,700,2016-11-17 00:00:00
akbonara,1148716,abnr20161117174,4508,6141,1000,2016-11-17 00:00:00
akbonara,1148716,abnr20161117175,6429,8532,1000,2016-11-17 00:00:00
akbonara,1210471,abnr2016111718,4931,6722,500,2016-11-17 00:00:00
akbonara,1223153,abnr20161117182,1356,1754,1000,2016-11-17 00:00:00
akbonara,1185916,abnr20161117186,4514,6149,1000,2016-11-17 00:00:00
akbonara,1228562,abnr201611173,17542,4923,1000,2016-11-17 00:00:00
akbonara,1214000,abnr2016111736,4230,3415,1000,2016-11-17 00:00:00
akbonara,1081430,abnr2016111738,4837,6554,500,2016-11-17 00:00:00
akbonara,1204620,abnr2016111741,7078,9228,1000,2016-11-17 00:00:00
akbonara,1204620,abnr2016111742,3779,5090,500,2016-11-17 00:00:00
akbonara,1081430,abnr2016111743,2600,3334,1000,2016-11-17 00:00:00
akbonara,1222693,abnr2016111755,5635,7568,500,2016-11-17 00:00:00
akbonara,1155273,abnr2016111757,3802,5133,1000,2016-11-17 00:00:00
akbonara,1223406,abnr2016111758,3792,5114,1000,2016-11-17 00:00:00
akbonara,1235045,abnr2016111763,4223,5677,500,2016-11-17 00:00:00
akbonara,1212339,abnr2016111769,4153,5567,500,2016-11-17 00:00:00
akbonara,1210562,abnr2016111770,6189,8180,500,2016-11-17 00:00:00
akbonara,1211645,abnr2016111771,1228,1568,1000,2016-11-17 00:00:00
akbonara,1212339,abnr2016111775,4508,6140,500,2016-11-17 00:00:00
akbonara,1167867,abnr2016111776,8611,12278,3000,2016-11-17 00:00:00
akbonara,1139438,abnr2016111777,1877,2472,1000,2016-11-17 00:00:00
akbonara,1227014,abnr201611178,17190,3193,1000,2016-11-17 00:00:00
akbonara,1113079,abnr2016111782,441,531,1000,2016-11-17 00:00:00
akbonara,1235646,abnr2016111784,689,866,1000,2016-11-17 00:00:00
akbonara,1235646,abnr2016111789,316,382,1000,2016-11-17 00:00:00
akbonara,1234478,abnr201611179,4514,6148,500,2016-11-17 00:00:00
akbonara,1223504,abnr20161118124,3789,5109,1000,2016-11-18 00:00:00
akbonara,1175857,abnr20161118129,6561,8711,700,2016-11-18 00:00:00
akbonara,1151467,abnr20161118130,7665,11332,1500,2016-11-18 00:00:00
akbonara,1233964,abnr20161118132,174,209,1000,2016-11-18 00:00:00
akbonara,1233964,abnr20161118135,1567,2059,500,2016-11-18 00:00:00
